;PC Software:StarLab Version 2.11 Build 2
;Logged:21/10/2022 at 13:34:39
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Juno Photodiode PD300-1W (s/n:584133)  JN1.53 (s/n:3041014)
;Channel B:Nova II Photodiode PD300-1W (s/n:533500)  NN2.37 (s/n:517373)

;Channel A:Details
;Name:PD300-1W
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT

;Channel B:Details
;Name:PD300-1W
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT
;--------------------


;First Pulse Arrived : 21/10/2022 at 13:34:39.238000
  Timestamp   	  Channel A  	  Channel B  	
        84.192	             	  9.240e-006 	
        84.997	  3.000e-004 	             	
        85.248	             	  9.350e-006 	
        85.997	  3.010e-004 	             	
        86.272	             	  9.440e-006 	
        86.997	  3.020e-004 	             	
        87.328	             	  9.140e-006 	
        87.997	  3.020e-004 	             	
        88.384	             	  9.320e-006 	
        88.997	  3.020e-004 	             	
        89.472	             	  9.570e-006 	
        89.997	  3.010e-004 	             	
        90.528	             	  9.640e-006 	
        90.997	  3.020e-004 	             	
        91.584	             	  9.740e-006 	
        91.997	  3.010e-004 	             	
        92.639	             	  9.870e-006 	
        92.997	  3.000e-004 	             	
        93.663	             	  9.940e-006 	
        94.063	  2.990e-004 	             	
        94.720	             	  1.004e-005 	
        95.063	  2.990e-004 	             	
        95.776	             	  1.021e-005 	
        96.063	  2.990e-004 	             	
        96.800	             	  1.027e-005 	
        97.063	  2.990e-004 	             	
        97.856	             	  1.040e-005 	
        98.063	  2.990e-004 	             	
        98.912	             	  1.044e-005 	
        99.063	  2.990e-004 	             	
        99.936	             	  1.057e-005 	
       100.063	  2.990e-004 	             	
       100.992	             	  1.066e-005 	
       101.063	  2.990e-004 	             	
       102.048	             	  1.074e-005 	
       102.063	  2.990e-004 	             	
       103.063	  2.990e-004 	             	
       103.104	             	  1.085e-005 	
       104.063	  2.980e-004 	             	
       104.128	             	  1.094e-005 	
       105.063	  2.970e-004 	             	
       105.184	             	  1.104e-005 	
       106.063	  2.970e-004 	             	
       106.240	             	  1.111e-005 	
       107.063	  2.970e-004 	             	
       107.263	             	  1.121e-005 	
       108.063	  2.960e-004 	             	
       108.319	             	  1.130e-005 	
       109.063	  2.960e-004 	             	
       109.375	             	  1.135e-005 	
       110.129	  2.960e-004 	             	
       110.399	             	  1.142e-005 	
       111.195	  2.960e-004 	             	
       111.455	             	  1.138e-005 	
       112.196	  2.960e-004 	             	
       112.512	             	  1.144e-005 	
       113.196	  2.960e-004 	             	
       113.600	             	  1.157e-005 	
       114.196	  2.960e-004 	             	
       114.656	             	  1.170e-005 	
       115.196	  2.960e-004 	             	
       115.712	             	  1.178e-005 	
       116.196	  2.960e-004 	             	
       116.768	             	  1.181e-005 	
       117.196	  2.960e-004 	             	
       117.792	             	  1.192e-005 	
       118.196	  2.960e-004 	             	
       118.848	             	  1.171e-005 	
       119.196	  2.960e-004 	             	
       119.904	             	  1.189e-005 	
       120.196	  2.960e-004 	             	
       120.928	             	  1.203e-005 	
       121.196	  2.950e-004 	             	
       121.983	             	  1.214e-005 	
       122.196	  2.950e-004 	             	
       123.039	             	  1.197e-005 	
       123.196	  2.960e-004 	             	
       124.063	             	  1.217e-005 	
       124.196	  2.950e-004 	             	
       125.119	             	  1.233e-005 	
       125.261	  2.940e-004 	             	
       126.175	             	  1.241e-005 	
       126.261	  2.930e-004 	             	
       127.261	  2.930e-004 	             	
       127.263	             	  1.255e-005 	
       128.261	  2.930e-004 	             	
       128.319	             	  1.262e-005 	
       129.261	  2.930e-004 	             	
       129.375	             	  1.271e-005 	
       130.262	  2.930e-004 	             	
       130.432	             	  1.279e-005 	
       131.262	  2.930e-004 	             	
