;PC Software:StarLab Version 2.11 Build 2
;Logged:28/10/2022 at 12:13:03
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Juno Photodiode PD300-1W (s/n:584133)  JN1.53 (s/n:3041014)
;Channel B:Nova II Photodiode PD300-1W (s/n:533500)  NN2.37 (s/n:517373)
;Channel C:Nova II Photodiode PD300-3W-v1 (s/n:928013)  NN2.17 (s/n:626171)

;Channel A:Details
;Name:PD300-1W
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT

;Channel B:Details
;Name:PD300-1W
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT

;Channel C:Details
;Name:PD300-3W-v1
;Graph Color:RGB(51,204,51)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT
;--------------------


;First Pulse Arrived : 28/10/2022 at 12:13:03.340000
  Timestamp   	  Channel A  	  Channel B  	  Channel C  	
        47.658	  3.000e-004 	             	             	
        47.680	             	  5.140e-006 	             	
        48.298	             	             	  2.217e-007 	
        48.658	  2.990e-004 	             	             	
        48.736	             	  5.390e-006 	             	
        49.354	             	             	  2.248e-007 	
        49.658	  2.990e-004 	             	             	
        49.792	             	  5.630e-006 	             	
        50.378	             	             	  2.279e-007 	
        50.658	  2.990e-004 	             	             	
        50.880	             	  5.810e-006 	             	
        51.433	             	             	  2.302e-007 	
        51.723	  2.990e-004 	             	             	
        51.936	             	  6.020e-006 	             	
        52.489	             	             	  2.325e-007 	
        52.723	  2.990e-004 	             	             	
        52.992	             	  6.290e-006 	             	
        53.513	             	             	  2.352e-007 	
        53.723	  2.990e-004 	             	             	
        54.080	             	  6.480e-006 	             	
        54.569	             	             	  2.376e-007 	
        54.723	  2.980e-004 	             	             	
        55.137	             	  6.650e-006 	             	
        55.626	             	             	  2.413e-007 	
        55.724	  2.980e-004 	             	             	
        56.193	             	  6.930e-006 	             	
        56.650	             	             	  2.431e-007 	
        56.724	  2.970e-004 	             	             	
        57.248	             	  7.070e-006 	             	
        57.706	             	             	  2.467e-007 	
        57.724	  2.970e-004 	             	             	
        58.272	             	  7.300e-006 	             	
        58.724	  2.960e-004 	             	             	
        58.762	             	             	  2.471e-007 	
        59.328	             	  7.440e-006 	             	
        59.724	  2.960e-004 	             	             	
        59.850	             	             	  2.264e-007 	
        60.384	             	  7.640e-006 	             	
        60.724	  2.960e-004 	             	             	
        60.906	             	             	  2.226e-007 	
        61.408	             	  7.900e-006 	             	
        61.724	  2.960e-004 	             	             	
        61.962	             	             	  2.274e-007 	
        62.464	             	  8.080e-006 	             	
        62.724	  2.960e-004 	             	             	
        63.018	             	             	  2.428e-007 	
        63.520	             	  8.360e-006 	             	
        63.724	  2.950e-004 	             	             	
        64.042	             	             	  2.442e-007 	
        64.544	             	  8.580e-006 	             	
        64.724	  2.950e-004 	             	             	
        65.098	             	             	  2.420e-007 	
        65.600	             	  8.800e-006 	             	
        65.724	  2.940e-004 	             	             	
        66.153	             	             	  2.517e-007 	
        66.656	             	  9.020e-006 	             	
        66.789	  2.930e-004 	             	             	
        67.177	             	             	  2.544e-007 	
        67.712	             	  9.210e-006 	             	
        67.789	  2.930e-004 	             	             	
        68.233	             	             	  2.586e-007 	
        68.736	             	  9.330e-006 	             	
        68.789	  2.930e-004 	             	             	
        69.289	             	             	  2.624e-007 	
        69.789	  2.930e-004 	             	             	
        69.792	             	  9.630e-006 	             	
        70.313	             	             	  2.688e-007 	
        70.789	  2.930e-004 	             	             	
        70.848	             	  9.790e-006 	             	
        71.369	             	             	  2.873e-007 	
        71.789	  2.930e-004 	             	             	
        71.871	             	  1.003e-005 	             	
        72.426	             	             	  2.984e-007 	
        72.790	  2.920e-004 	             	             	
        72.928	             	  1.026e-005 	             	
        73.790	  2.910e-004 	             	             	
        73.834	             	             	  3.040e-007 	
        73.984	             	  1.044e-005 	             	
        74.790	  2.910e-004 	             	             	
        74.890	             	             	  3.080e-007 	
        75.008	             	  1.067e-005 	             	
        75.790	  2.900e-004 	             	             	
        75.978	             	             	  3.140e-007 	
        76.064	             	  1.088e-005 	             	
        76.790	  2.900e-004 	             	             	
        77.034	             	             	  3.170e-007 	
        77.120	             	  1.101e-005 	             	
        77.790	  2.900e-004 	             	             	
        78.090	             	             	  3.230e-007 	
        78.208	             	  1.131e-005 	             	
        78.790	  2.900e-004 	             	             	
        79.178	             	             	  3.280e-007 	
        79.264	             	  1.127e-005 	             	
        79.790	  2.900e-004 	             	             	
        80.234	             	             	  3.320e-007 	
        80.320	             	  1.162e-005 	             	
        80.790	  2.890e-004 	             	             	
        81.290	             	             	  3.380e-007 	
        81.408	             	  1.186e-005 	             	
        81.790	  2.890e-004 	             	             	
        82.378	             	             	  3.410e-007 	
        82.464	             	  1.208e-005 	             	
        82.856	  2.880e-004 	             	             	
        83.433	             	             	  3.480e-007 	
        83.520	             	  1.228e-005 	             	
        83.856	  2.880e-004 	             	             	
        84.489	             	             	  3.530e-007 	
        84.576	             	  1.252e-005 	             	
        84.856	  2.870e-004 	             	             	
        85.545	             	             	  3.590e-007 	
        85.600	             	  1.272e-005 	             	
        85.922	  2.870e-004 	             	             	
        86.569	             	             	  3.620e-007 	
        86.655	             	  1.289e-005 	             	
        86.922	  2.870e-004 	             	             	
        87.625	             	             	  3.690e-007 	
        87.711	             	  1.278e-005 	             	
        87.922	  2.870e-004 	             	             	
        88.681	             	             	  3.740e-007 	
        88.735	             	  1.314e-005 	             	
        88.922	  2.870e-004 	             	             	
        89.705	             	             	  3.760e-007 	
        89.791	             	  1.326e-005 	             	
        89.923	  2.860e-004 	             	             	
        90.762	             	             	  3.820e-007 	
        90.848	             	  1.352e-005 	             	
        90.923	  2.850e-004 	             	             	
        91.818	             	             	  3.910e-007 	
        91.872	             	  1.355e-005 	             	
        91.923	  2.840e-004 	             	             	
        92.842	             	             	  3.990e-007 	
        92.923	  2.840e-004 	             	             	
        92.928	             	  1.390e-005 	             	
        93.898	             	             	  4.080e-007 	
        93.923	  2.840e-004 	             	             	
        93.984	             	  1.413e-005 	             	
        94.923	  2.840e-004 	             	             	
        94.954	             	             	  4.120e-007 	
        95.040	             	  1.425e-005 	             	
        95.923	  2.840e-004 	             	             	
        96.010	             	             	  4.130e-007 	
        96.064	             	  1.420e-005 	             	
        96.923	  2.840e-004 	             	             	
        97.034	             	             	  4.130e-007 	
        97.120	             	  1.463e-005 	             	
        97.988	  2.840e-004 	             	             	
        98.089	             	             	  4.170e-007 	
        98.176	             	  1.443e-005 	             	
        98.988	  2.840e-004 	             	             	
        99.145	             	             	  4.270e-007 	
        99.200	             	  1.481e-005 	             	
        99.988	  2.840e-004 	             	             	
       100.169	             	             	  4.270e-007 	
       100.256	             	  1.494e-005 	             	
       100.988	  2.840e-004 	             	             	
       101.226	             	             	  4.360e-007 	
       101.312	             	  1.491e-005 	             	
       101.988	  2.830e-004 	             	             	
       102.281	             	             	  4.400e-007 	
       102.336	             	  1.536e-005 	             	
       102.988	  2.810e-004 	             	             	
       103.305	             	             	  4.490e-007 	
       103.392	             	  1.553e-005 	             	
       103.988	  2.810e-004 	             	             	
       104.361	             	             	  4.550e-007 	
       104.447	             	  1.574e-005 	             	
       104.988	  2.810e-004 	             	             	
       105.417	             	             	  4.620e-007 	
       105.535	             	  1.611e-005 	             	
       105.988	  2.810e-004 	             	             	
       106.505	             	             	  4.700e-007 	
       106.591	             	  1.626e-005 	             	
       106.988	  2.780e-004 	             	             	
       107.562	             	             	  4.800e-007 	
       107.648	             	  1.651e-005 	             	
       107.989	  2.770e-004 	             	             	
       108.618	             	             	  4.860e-007 	
       108.704	             	  1.665e-005 	             	
       108.989	  2.780e-004 	             	             	
       109.674	             	             	  4.930e-007 	
       109.728	             	  1.673e-005 	             	
       109.989	  2.770e-004 	             	             	
       110.698	             	             	  4.940e-007 	
       110.784	             	  1.704e-005 	             	
       110.989	  2.750e-004 	             	             	
       111.754	             	             	  5.020e-007 	
       111.840	             	  1.735e-005 	             	
       111.989	  2.750e-004 	             	             	
       112.810	             	             	  5.040e-007 	
       112.864	             	  1.739e-005 	             	
       113.055	  2.750e-004 	             	             	
       113.833	             	             	  5.120e-007 	
       113.920	             	  1.767e-005 	             	
       114.055	  2.750e-004 	             	             	
       114.889	             	             	  5.220e-007 	
       114.976	             	  1.797e-005 	             	
       115.121	  2.750e-004 	             	             	
       115.945	             	             	  5.300e-007 	
       116.000	             	  1.818e-005 	             	
       116.121	  2.740e-004 	             	             	
       116.969	             	             	  5.350e-007 	
       117.056	             	  1.756e-005 	             	
       117.121	  2.750e-004 	             	             	
       118.025	             	             	  5.380e-007 	
       118.112	             	  1.808e-005 	             	
       118.121	  2.740e-004 	             	             	
       119.081	             	             	  5.470e-007 	
       119.121	  2.730e-004 	             	             	
       119.200	             	  1.845e-005 	             	
       120.121	  2.730e-004 	             	             	
       120.137	             	             	  5.550e-007 	
       120.255	             	  1.887e-005 	             	
       121.121	  2.720e-004 	             	             	
       121.161	             	             	  5.620e-007 	
       121.311	             	  1.909e-005 	             	
       122.121	  2.720e-004 	             	             	
       122.217	             	             	  5.690e-007 	
       122.367	             	  1.941e-005 	             	
       123.121	  2.720e-004 	             	             	
       123.273	             	             	  5.770e-007 	
       123.391	             	  1.948e-005 	             	
       124.121	  2.720e-004 	             	             	
       124.297	             	             	  5.800e-007 	
       124.447	             	  1.908e-005 	             	
       125.122	  2.720e-004 	             	             	
       125.354	             	             	  5.840e-007 	
       125.504	             	  1.964e-005 	             	
       126.122	  2.700e-004 	             	             	
       126.410	             	             	  5.950e-007 	
       126.528	             	  2.000e-005 	             	
       127.122	  2.700e-004 	             	             	
       127.434	             	             	  6.060e-007 	
       127.584	             	  2.018e-005 	             	
       128.188	  2.690e-004 	             	             	
       128.490	             	             	  6.150e-007 	
       128.640	             	  2.049e-005 	             	
       129.254	  2.690e-004 	             	             	
       129.546	             	             	  6.120e-007 	
       129.664	             	  2.003e-005 	             	
       130.254	  2.690e-004 	             	             	
       130.633	             	             	  6.120e-007 	
       130.720	             	  1.997e-005 	             	
       131.254	  2.690e-004 	             	             	
       131.689	             	             	  6.220e-007 	
       131.776	             	  2.052e-005 	             	
       132.254	  2.690e-004 	             	             	
       132.745	             	             	  6.340e-007 	
       132.864	             	  2.043e-005 	             	
       133.254	  2.710e-004 	             	             	
       133.801	             	             	  6.180e-007 	
       133.920	             	  1.913e-005 	             	
       134.254	  2.710e-004 	             	             	
       134.825	             	             	  6.180e-007 	
       134.975	             	  1.931e-005 	             	
       135.254	  2.690e-004 	             	             	
       135.881	             	             	  6.370e-007 	
       136.031	             	  2.056e-005 	             	
       136.254	  2.670e-004 	             	             	
       136.937	             	             	  6.540e-007 	
       137.055	             	  2.113e-005 	             	
       137.254	  2.660e-004 	             	             	
       137.961	             	             	  6.680e-007 	
       138.111	             	  2.151e-005 	             	
       138.254	  2.660e-004 	             	             	
       139.017	             	             	  6.680e-007 	
       139.167	             	  2.151e-005 	             	
       139.254	  2.660e-004 	             	             	
       140.073	             	             	  6.820e-007 	
       140.191	             	  2.193e-005 	             	
       140.254	  2.650e-004 	             	             	
       141.097	             	             	  6.820e-007 	
       141.247	             	  2.174e-005 	             	
       141.254	  2.660e-004 	             	             	
       142.153	             	             	  8.670e-007 	
       142.254	  2.630e-004 	             	             	
       142.304	             	  2.159e-005 	             	
       143.210	             	             	  9.060e-007 	
       143.255	  2.630e-004 	             	             	
       143.328	             	  2.185e-005 	             	
       144.265	             	             	  9.130e-007 	
       144.320	  2.620e-004 	             	             	
       144.384	             	  2.225e-005 	             	
       145.289	             	             	  9.160e-007 	
       145.320	  2.610e-004 	             	             	
       145.440	             	  2.284e-005 	             	
       146.320	  2.610e-004 	             	             	
       146.345	             	             	  9.090e-007 	
